bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.467,0.248,0.083,20596,14589,11475
1B _ _,0.843,0.516,0.197,5125,5979,6029
_ 2B _,1.114,0.673,0.334,1180,2371,3093
_ _ 3B,1.350,0.947,0.407,297,808,1070
1B 2B _,1.525,0.951,0.444,1216,2237,3079
1B _ 3B,1.768,1.180,0.474,475,944,1032
_ 2B 3B,2.209,1.456,0.651,278,713,744
1B 2B 3B,2.473,1.564,0.853,338,851,966
