Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4374,8204.0,1.876
Triple,3B,875,1356.0,1.550
Double,2B,8101,9965.0,1.230
Error,RBOE,1572,1568.0,0.997
Passed Ball,PB,276,258.0,0.935
Single,1B,26762,24941.0,0.932
Wild Pitch,WP,1324,1225.0,0.925
Balk,BK,164,151.0,0.921
Sac Bunt,SAC,2109,1832.0,0.869
Hit by Pitch,HBP,1486,1259.0,0.847
Intentional Walk,IBB,1077,853.0,0.792
Fielder's Choice,FC,507,399.0,0.787
Non-Intentional Walk,NIBB,13149,10010.0,0.761
Stolen Base,SB,2775,1887.0,0.680
Interference,INT,25,16.0,0.640
Foul Error,FLE,34,16.0,0.471
Defensive Indifference,DI,147,59.0,0.401
Bunt,BUNT,840,332.0,0.395
Pickoff,PK,607,201.0,0.331
Out (on Batted Ball),OUT,83927,17424.0,0.208
Other,OTHER,77,14.0,0.182
Strikeout,K,32770,5918.0,0.181
Caught Stealing,CS,844,100.0,0.118
