Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3652,6922.0,1.895
Triple,3B,832,1234.0,1.483
Double,2B,6282,7741.0,1.232
Passed Ball,PB,311,316.0,1.016
Error,RBOE,1786,1787.0,1.001
Wild Pitch,WP,1166,1149.0,0.985
Interference,INT,23,22.0,0.957
Single,1B,24190,22927.0,0.948
Sac Bunt,SAC,1982,1746.0,0.881
Hit by Pitch,HBP,777,652.0,0.839
Balk,BK,284,237.0,0.835
Intentional Walk,IBB,1127,919.0,0.815
Non-Intentional Walk,NIBB,12420,9685.0,0.780
Stolen Base,SB,2970,2198.0,0.740
Fielder's Choice,FC,637,422.0,0.662
Other,OTHER,47,28.0,0.596
Foul Error,FLE,64,32.0,0.500
Pickoff,PK,433,205.0,0.473
Bunt,BUNT,743,295.0,0.397
Defensive Indifference,DI,11,4.0,0.364
Out (on Batted Ball),OUT,76337,16432.0,0.215
Strikeout,K,23484,4406.0,0.188
Caught Stealing,CS,1364,156.0,0.114
