Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5041,9519.0,1.888
Triple,3B,624,921.0,1.476
Double,2B,7723,9601.0,1.243
Fielder's Choice,FC,616,757.0,1.229
Passed Ball,PB,188,230.0,1.223
Sac Bunt,SAC,618,662.0,1.071
Error,RBOE,1044,984.0,0.943
Single,1B,24581,23023.0,0.937
Wild Pitch,WP,1424,1311.0,0.921
Hit by Pitch,HBP,1970,1721.0,0.874
Interference,INT,70,61.0,0.871
Balk,BK,113,94.0,0.832
Intentional Walk,IBB,351,283.0,0.806
Non-Intentional Walk,NIBB,13842,10904.0,0.788
Stolen Base,SB,2130,1454.0,0.683
Foul Error,FLE,34,21.0,0.618
Bunt,BUNT,427,195.0,0.457
Pickoff,PK,394,160.0,0.406
Other,OTHER,76,30.0,0.395
Defensive Indifference,DI,103,38.0,0.369
Out (on Batted Ball),OUT,79419,16656.0,0.210
Strikeout,K,39203,7368.0,0.188
Caught Stealing,CS,556,53.0,0.095
