Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,1742,3188.0,1.830
Triple,3B,652,1002.0,1.537
Double,2B,3973,4832.0,1.216
Passed Ball,PB,156,153.0,0.981
Error,RBOE,1279,1181.0,0.923
Hit by Pitch,HBP,459,414.0,0.902
Single,1B,17534,15563.0,0.888
Balk,BK,181,150.0,0.829
Fielder's Choice,FC,407,330.0,0.811
Wild Pitch,WP,674,539.0,0.800
Sac Bunt,SAC,1127,881.0,0.782
Intentional Walk,IBB,847,636.0,0.751
Non-Intentional Walk,NIBB,7903,5796.0,0.733
Stolen Base,SB,1959,1342.0,0.685
Foul Error,FLE,44,25.0,0.568
Pickoff,PK,438,138.0,0.315
Bunt,BUNT,311,97.0,0.312
Interference,INT,12,3.0,0.250
Other,OTHER,19,4.0,0.211
Out (on Batted Ball),OUT,55865,10550.0,0.189
Strikeout,K,13214,2239.0,0.169
Caught Stealing,CS,852,101.0,0.119
Defensive Indifference,DI,3,0.0,0.000
