bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.402,0.203,0.065,17187,11911,9330
1B _ _,0.775,0.455,0.168,4535,4655,3923
_ 2B _,0.991,0.594,0.290,907,2614,3194
_ _ 3B,1.282,0.912,0.358,337,1013,1416
1B 2B _,1.510,0.869,0.380,932,1630,1806
1B _ 3B,1.594,1.131,0.552,330,794,645
_ 2B 3B,1.869,1.389,0.606,206,767,924
1B 2B 3B,2.477,1.631,0.667,279,609,682
