Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3248,6145.0,1.892
Triple,3B,943,1438.0,1.525
Double,2B,6104,7434.0,1.218
Interference,INT,15,16.0,1.067
Balk,BK,254,258.0,1.016
Wild Pitch,WP,1021,995.0,0.975
Error,RBOE,1800,1751.0,0.973
Single,1B,25530,24200.0,0.948
Sac Bunt,SAC,1908,1696.0,0.889
Passed Ball,PB,272,231.0,0.849
Hit by Pitch,HBP,652,532.0,0.816
Intentional Walk,IBB,1156,942.0,0.815
Stolen Base,SB,2988,2279.0,0.763
Fielder's Choice,FC,424,321.0,0.757
Non-Intentional Walk,NIBB,11525,8649.0,0.750
Bunt,BUNT,398,206.0,0.518
Defensive Indifference,DI,8,4.0,0.500
Foul Error,FLE,61,26.0,0.426
Pickoff,PK,618,247.0,0.400
Out (on Batted Ball),OUT,80444,16937.0,0.211
Strikeout,K,20236,3657.0,0.181
Caught Stealing,CS,1240,145.0,0.117
Other,OTHER,26,1.0,0.038
