bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.419,0.223,0.084,28687,20912,16781
1B _ _,0.775,0.456,0.189,6333,7367,7764
_ 2B _,1.064,0.638,0.330,1752,3435,4255
_ _ 3B,1.230,0.887,0.380,400,1149,1666
1B 2B _,1.420,0.825,0.438,1369,2578,3580
1B _ 3B,1.689,1.067,0.432,631,1391,1672
_ 2B 3B,1.977,1.294,0.589,345,922,1025
1B 2B 3B,2.261,1.381,0.672,310,824,1142
