bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.502,0.269,0.100,37234,26417,20935
1B _ _,0.869,0.530,0.230,8535,9619,9494
_ 2B _,1.138,0.696,0.322,2812,5334,6291
_ _ 3B,1.318,0.958,0.371,594,1803,2575
1B 2B _,1.509,0.969,0.450,2050,3776,4886
1B _ 3B,1.749,1.169,0.502,849,1792,2222
_ 2B 3B,2.029,1.421,0.603,518,1398,1422
1B 2B 3B,2.412,1.700,0.798,503,1329,1545
