bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.575,0.307,0.122,43575,30570,24162
1B _ _,0.966,0.581,0.252,10363,11811,11403
_ 2B _,1.214,0.730,0.361,3508,5690,7232
_ _ 3B,1.462,1.005,0.378,558,1948,3081
1B 2B _,1.561,0.958,0.466,2794,4919,5971
1B _ 3B,1.943,1.236,0.544,1054,2140,2807
_ 2B 3B,2.110,1.524,0.636,709,1685,1921
1B 2B 3B,2.371,1.668,0.798,728,1731,2183
