bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.480,0.253,0.094,37429,26795,21358
1B _ _,0.869,0.513,0.217,8522,9687,9512
_ 2B _,1.111,0.675,0.343,2673,4789,6207
_ _ 3B,1.406,0.947,0.374,434,1776,2698
1B 2B _,1.475,0.912,0.468,2073,3611,4775
1B _ 3B,1.754,1.164,0.488,915,1761,2271
_ 2B 3B,1.894,1.389,0.556,540,1348,1522
1B 2B 3B,2.274,1.469,0.765,541,1235,1592
