bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.429,0.217,0.078,18348,12815,9904
1B _ _,0.806,0.456,0.198,4659,5320,5358
_ 2B _,1.055,0.673,0.334,1075,2416,2990
_ _ 3B,1.406,0.946,0.397,283,757,988
1B 2B _,1.506,0.910,0.437,1047,2026,2941
1B _ 3B,1.548,1.120,0.522,405,805,892
_ 2B 3B,1.987,1.499,0.651,239,712,648
1B 2B 3B,2.224,1.663,0.742,272,810,861
