bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.519,0.278,0.104,40369,28697,22738
1B _ _,0.910,0.528,0.225,9384,10526,10317
_ 2B _,1.141,0.706,0.330,3058,5347,6617
_ _ 3B,1.420,0.991,0.371,550,1996,2862
1B 2B _,1.529,0.919,0.472,2349,4107,5382
1B _ 3B,1.769,1.181,0.516,957,2046,2603
_ 2B 3B,2.015,1.433,0.598,596,1525,1715
1B 2B 3B,2.408,1.623,0.787,618,1563,1841
