bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.484,0.249,0.086,21074,14246,10986
1B _ _,0.868,0.530,0.205,5689,6082,5382
_ 2B _,1.125,0.685,0.322,1273,3329,3976
_ _ 3B,1.370,0.984,0.362,516,1376,1946
1B 2B _,1.611,0.983,0.418,1213,2095,2388
1B _ 3B,1.807,1.328,0.557,492,1136,1027
_ 2B 3B,1.993,1.504,0.635,280,1095,1143
1B 2B 3B,2.599,1.740,0.813,322,738,849
