bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.502,0.269,0.099,43754,32065,25515
1B _ _,0.881,0.537,0.223,9494,11655,11487
_ 2B _,1.133,0.682,0.326,3008,4744,6380
_ _ 3B,1.412,1.008,0.346,442,1711,2568
1B 2B _,1.434,0.939,0.448,2418,4219,5208
1B _ 3B,1.796,1.208,0.492,839,1868,2354
_ 2B 3B,1.938,1.370,0.569,610,1509,1761
1B 2B 3B,2.379,1.472,0.771,639,1557,2019
