bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.530,0.283,0.100,19841,13321,10344
1B _ _,0.914,0.560,0.222,5496,6093,5696
_ 2B _,1.095,0.740,0.368,1322,2780,3326
_ _ 3B,1.349,0.919,0.398,410,1138,1646
1B 2B _,1.623,1.004,0.456,1192,2146,2514
1B _ 3B,1.814,1.164,0.529,613,1156,1287
_ 2B 3B,2.064,1.433,0.636,298,1027,971
1B 2B 3B,2.445,1.728,0.804,292,764,912
