Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4855,9245.0,1.904
Triple,3B,919,1360.0,1.480
Double,2B,8501,10797.0,1.270
Interference,INT,19,22.0,1.158
Error,RBOE,1469,1508.0,1.027
Balk,BK,136,136.0,1.000
Single,1B,27238,26972.0,0.990
Wild Pitch,WP,1394,1302.0,0.934
Hit by Pitch,HBP,1532,1381.0,0.901
Sac Bunt,SAC,2087,1876.0,0.899
Intentional Walk,IBB,1059,950.0,0.897
Passed Ball,PB,234,207.0,0.885
Fielder's Choice,FC,430,377.0,0.877
Non-Intentional Walk,NIBB,14794,12163.0,0.822
Stolen Base,SB,2554,1852.0,0.725
Foul Error,FLE,42,20.0,0.476
Pickoff,PK,528,224.0,0.424
Bunt,BUNT,795,327.0,0.411
Defensive Indifference,DI,163,63.0,0.387
Other,OTHER,90,30.0,0.333
Out (on Batted Ball),OUT,84213,18827.0,0.224
Strikeout,K,32054,6181.0,0.193
Caught Stealing,CS,755,100.0,0.132
