bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.540,0.286,0.109,43531,30860,24328
1B _ _,0.933,0.547,0.237,9981,11651,11285
_ 2B _,1.192,0.734,0.352,3487,5618,7032
_ _ 3B,1.420,0.986,0.392,543,2007,2938
1B 2B _,1.527,0.928,0.467,2621,4786,5937
1B _ 3B,1.802,1.228,0.507,998,2096,2768
_ 2B 3B,2.127,1.455,0.636,722,1572,1840
1B 2B 3B,2.381,1.630,0.797,766,1810,2210
