bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.419,0.203,0.061,21389,14714,11779
1B _ _,0.799,0.477,0.164,5467,5418,4554
_ 2B _,1.032,0.634,0.274,1299,3322,4138
_ _ 3B,1.229,0.901,0.334,519,1531,1893
1B 2B _,1.480,0.922,0.406,1196,1916,2112
1B _ 3B,1.639,1.174,0.495,418,925,667
_ 2B 3B,1.819,1.308,0.560,281,1010,1068
1B 2B 3B,2.388,1.572,0.740,348,710,769
