bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.476,0.260,0.101,21897,15582,12353
1B _ _,0.836,0.529,0.222,5415,6328,6296
_ 2B _,1.028,0.668,0.325,1229,2462,3181
_ _ 3B,1.338,0.837,0.347,284,828,1204
1B 2B _,1.387,0.906,0.463,1178,2311,2984
1B _ 3B,1.606,1.084,0.484,469,965,1192
_ 2B 3B,1.887,1.395,0.581,282,745,763
1B 2B 3B,2.224,1.486,0.703,304,811,959
