Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4855,9589.0,1.975
Triple,3B,859,1347.0,1.568
Double,2B,8602,10975.0,1.276
Error,RBOE,1566,1624.0,1.037
Balk,BK,157,157.0,1.000
Single,1B,27641,27069.0,0.979
Wild Pitch,WP,1255,1180.0,0.940
Sac Bunt,SAC,2222,1999.0,0.900
Intentional Walk,IBB,1090,968.0,0.888
Hit by Pitch,HBP,1744,1548.0,0.888
Passed Ball,PB,246,218.0,0.886
Fielder's Choice,FC,432,375.0,0.868
Non-Intentional Walk,NIBB,13435,11010.0,0.820
Stolen Base,SB,2205,1686.0,0.765
Interference,INT,17,10.0,0.588
Foul Error,FLE,48,22.0,0.458
Bunt,BUNT,876,376.0,0.429
Defensive Indifference,DI,130,44.0,0.338
Pickoff,PK,498,156.0,0.313
Out (on Batted Ball),OUT,86911,19320.0,0.222
Other,OTHER,50,11.0,0.220
Strikeout,K,29166,5810.0,0.199
Caught Stealing,CS,718,134.0,0.187
