Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3153,5910.0,1.874
Triple,3B,953,1479.0,1.552
Double,2B,6014,7384.0,1.228
Balk,BK,273,274.0,1.004
Sac Bunt,SAC,1466,1445.0,0.986
Wild Pitch,WP,1010,987.0,0.977
Error,RBOE,1976,1873.0,0.948
Passed Ball,PB,285,270.0,0.947
Intentional Walk,IBB,1097,1031.0,0.940
Single,1B,25710,24072.0,0.936
Interference,INT,27,23.0,0.852
Fielder's Choice,FC,446,364.0,0.816
Stolen Base,SB,2820,2221.0,0.788
Hit by Pitch,HBP,653,503.0,0.770
Non-Intentional Walk,NIBB,11560,8898.0,0.770
Defensive Indifference,DI,6,4.0,0.667
Bunt,BUNT,175,93.0,0.531
Foul Error,FLE,73,33.0,0.452
Pickoff,PK,469,185.0,0.394
Other,OTHER,36,10.0,0.278
Out (on Batted Ball),OUT,79299,16348.0,0.206
Strikeout,K,21481,4175.0,0.194
Caught Stealing,CS,1282,182.0,0.142
