Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,2972,5513.0,1.855
Triple,3B,851,1312.0,1.542
Double,2B,6087,7488.0,1.230
Interference,INT,16,18.0,1.125
Passed Ball,PB,282,275.0,0.975
Error,RBOE,1691,1595.0,0.943
Sac Bunt,SAC,2139,2014.0,0.942
Single,1B,24443,22681.0,0.928
Wild Pitch,WP,1131,1041.0,0.920
Hit by Pitch,HBP,779,715.0,0.918
Balk,BK,397,323.0,0.814
Intentional Walk,IBB,1273,1033.0,0.811
Non-Intentional Walk,NIBB,11646,8695.0,0.747
Stolen Base,SB,2683,1994.0,0.743
Fielder's Choice,FC,428,318.0,0.743
Defensive Indifference,DI,21,10.0,0.476
Foul Error,FLE,60,27.0,0.450
Pickoff,PK,611,237.0,0.388
Bunt,BUNT,1003,383.0,0.382
Other,OTHER,40,13.0,0.325
Out (on Batted Ball),OUT,77828,15552.0,0.200
Strikeout,K,22506,4017.0,0.178
Caught Stealing,CS,1051,141.0,0.134
