Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4891,9472.0,1.937
Triple,3B,894,1422.0,1.591
Double,2B,8426,10610.0,1.259
Error,RBOE,1605,1724.0,1.074
Sac Bunt,SAC,2237,2244.0,1.003
Single,1B,26820,26701.0,0.996
Balk,BK,153,144.0,0.941
Wild Pitch,WP,1283,1189.0,0.927
Hit by Pitch,HBP,1693,1519.0,0.897
Fielder's Choice,FC,464,414.0,0.892
Interference,INT,9,8.0,0.889
Passed Ball,PB,315,270.0,0.857
Intentional Walk,IBB,1289,1050.0,0.815
Non-Intentional Walk,NIBB,14210,11400.0,0.802
Stolen Base,SB,2331,1701.0,0.730
Foul Error,FLE,44,23.0,0.523
Defensive Indifference,DI,111,55.0,0.495
Bunt,BUNT,945,408.0,0.432
Pickoff,PK,495,205.0,0.414
Out (on Batted Ball),OUT,85973,19048.0,0.222
Strikeout,K,29890,5819.0,0.195
Other,OTHER,35,6.0,0.171
Caught Stealing,CS,859,142.0,0.165
