bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.447,0.243,0.087,28685,20805,16626
1B _ _,0.802,0.492,0.211,6428,7615,7624
_ 2B _,0.998,0.634,0.311,1776,3443,4293
_ _ 3B,1.166,0.825,0.329,435,1237,1582
1B 2B _,1.437,0.874,0.433,1351,2575,3485
1B _ 3B,1.706,1.048,0.428,653,1329,1601
_ 2B 3B,1.916,1.292,0.519,347,942,964
1B 2B 3B,2.317,1.475,0.686,347,846,1084
