Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4454,8547.0,1.919
Triple,3B,849,1369.0,1.612
Double,2B,8206,10224.0,1.246
Error,RBOE,1540,1508.0,0.979
Single,1B,27075,25788.0,0.952
Interference,INT,26,24.0,0.923
Passed Ball,PB,235,215.0,0.915
Hit by Pitch,HBP,1500,1365.0,0.910
Wild Pitch,WP,1457,1298.0,0.891
Sac Bunt,SAC,2017,1782.0,0.883
Fielder's Choice,FC,456,379.0,0.831
Non-Intentional Walk,NIBB,13974,11197.0,0.801
Stolen Base,SB,2553,1969.0,0.771
Intentional Walk,IBB,1093,832.0,0.761
Balk,BK,175,130.0,0.743
Foul Error,FLE,42,22.0,0.524
Defensive Indifference,DI,162,84.0,0.519
Pickoff,PK,542,229.0,0.423
Bunt,BUNT,755,290.0,0.384
Out (on Batted Ball),OUT,83960,17974.0,0.214
Strikeout,K,32675,6141.0,0.188
Caught Stealing,CS,772,94.0,0.122
Other,OTHER,53,6.0,0.113
