bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.532,0.287,0.108,37726,26937,21564
1B _ _,0.910,0.558,0.242,8515,9528,9398
_ 2B _,1.180,0.715,0.335,2971,5103,6289
_ _ 3B,1.305,0.987,0.381,502,1788,2669
1B 2B _,1.520,0.950,0.465,2069,3672,4723
1B _ 3B,1.690,1.217,0.502,893,1829,2374
_ 2B 3B,1.937,1.441,0.583,567,1452,1563
1B 2B 3B,2.202,1.567,0.785,451,1335,1649
