bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.502,0.272,0.109,21372,15193,12026
1B _ _,0.878,0.536,0.225,5401,6152,6285
_ 2B _,1.080,0.674,0.331,1144,2420,3008
_ _ 3B,1.296,0.948,0.363,297,866,1193
1B 2B _,1.538,0.944,0.442,1274,2350,3145
1B _ 3B,1.644,1.207,0.519,438,1061,1171
_ 2B 3B,1.945,1.431,0.701,273,752,739
1B 2B 3B,2.258,1.527,0.734,330,896,1089
