bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.526,0.272,0.105,20116,14019,10843
1B _ _,0.951,0.543,0.222,5112,5959,5980
_ 2B _,1.203,0.709,0.352,1338,2658,3276
_ _ 3B,1.376,0.976,0.359,367,950,1213
1B 2B _,1.662,1.026,0.436,1245,2223,3036
1B _ 3B,1.811,1.244,0.485,557,1016,1092
_ 2B 3B,2.160,1.480,0.618,288,808,808
1B 2B 3B,2.527,1.648,0.752,366,863,1009
