Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3921,7447.0,1.899
Triple,3B,912,1495.0,1.639
Double,2B,7214,9229.0,1.279
Interference,INT,18,19.0,1.056
Error,RBOE,1782,1800.0,1.010
Wild Pitch,WP,1289,1284.0,0.996
Single,1B,26986,26761.0,0.992
Sac Bunt,SAC,2372,2281.0,0.962
Passed Ball,PB,312,281.0,0.901
Hit by Pitch,HBP,1152,996.0,0.865
Fielder's Choice,FC,494,426.0,0.862
Balk,BK,292,246.0,0.842
Intentional Walk,IBB,1310,1091.0,0.833
Non-Intentional Walk,NIBB,13094,10815.0,0.826
Stolen Base,SB,2759,2144.0,0.777
Foul Error,FLE,48,30.0,0.625
Defensive Indifference,DI,53,33.0,0.623
Pickoff,PK,438,211.0,0.482
Bunt,BUNT,927,409.0,0.441
Other,OTHER,37,11.0,0.297
Out (on Batted Ball),OUT,82573,18519.0,0.224
Strikeout,K,25008,4927.0,0.197
Caught Stealing,CS,1361,184.0,0.135
