bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.489,0.261,0.102,43507,31488,25371
1B _ _,0.854,0.517,0.233,9458,10936,10834
_ 2B _,1.111,0.672,0.328,3256,5354,6855
_ _ 3B,1.354,0.962,0.345,542,1897,2950
1B 2B _,1.409,0.886,0.418,2308,4096,5152
1B _ 3B,1.718,1.130,0.498,855,1893,2561
_ 2B 3B,1.986,1.351,0.555,590,1469,1740
1B 2B 3B,2.158,1.559,0.727,608,1460,1905
