bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.535,0.288,0.105,15732,11354,9224
1B _ _,0.921,0.568,0.238,3613,4218,4276
_ 2B _,1.139,0.729,0.335,1140,1686,2194
_ _ 3B,1.434,0.989,0.395,145,534,877
1B 2B _,1.607,0.943,0.464,893,1575,1960
1B _ 3B,1.602,1.299,0.559,324,646,878
_ 2B 3B,1.983,1.481,0.566,233,536,652
1B 2B 3B,2.528,1.733,0.727,288,621,788
