bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.502,0.274,0.102,37466,26857,21363
1B _ _,0.876,0.529,0.228,8338,9508,9733
_ 2B _,1.112,0.708,0.321,2786,5305,6395
_ _ 3B,1.330,0.890,0.379,651,1814,2573
1B 2B _,1.496,0.960,0.434,1903,3590,4826
1B _ 3B,1.663,1.158,0.475,885,1755,2290
_ 2B 3B,1.905,1.359,0.556,535,1447,1354
1B 2B 3B,2.214,1.591,0.748,495,1353,1534
