bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.524,0.276,0.110,43890,31754,25443
1B _ _,0.911,0.525,0.228,9831,11682,11453
_ 2B _,1.190,0.713,0.328,3117,4917,6316
_ _ 3B,1.414,0.986,0.367,454,1671,2715
1B 2B _,1.513,0.949,0.452,2491,4340,5308
1B _ 3B,1.802,1.216,0.487,834,1800,2325
_ 2B 3B,2.045,1.490,0.568,663,1488,1778
1B 2B 3B,2.215,1.639,0.803,661,1613,1875
