bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.544,0.296,0.114,44120,32443,25981
1B _ _,0.956,0.567,0.245,9558,11667,11676
_ 2B _,1.175,0.726,0.339,3054,4846,6449
_ _ 3B,1.444,1.011,0.376,423,1563,2519
1B 2B _,1.555,1.003,0.460,2460,4200,5202
1B _ 3B,1.809,1.227,0.534,773,1798,2295
_ 2B 3B,2.059,1.443,0.609,658,1477,1824
1B 2B 3B,2.331,1.639,0.776,632,1563,1989
