Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4703,9140.0,1.943
Triple,3B,849,1348.0,1.588
Double,2B,8754,11454.0,1.308
Error,RBOE,1516,1623.0,1.071
Interference,INT,17,18.0,1.059
Wild Pitch,WP,1392,1424.0,1.023
Single,1B,27616,27301.0,0.989
Hit by Pitch,HBP,1612,1588.0,0.985
Balk,BK,146,138.0,0.945
Sac Bunt,SAC,2065,1861.0,0.901
Fielder's Choice,FC,419,359.0,0.857
Non-Intentional Walk,NIBB,14392,11978.0,0.832
Intentional Walk,IBB,1173,976.0,0.832
Passed Ball,PB,263,214.0,0.814
Stolen Base,SB,2393,1866.0,0.780
Foul Error,FLE,45,31.0,0.689
Bunt,BUNT,774,397.0,0.513
Pickoff,PK,456,156.0,0.342
Defensive Indifference,DI,135,38.0,0.281
Out (on Batted Ball),OUT,85262,19278.0,0.226
Strikeout,K,31305,6008.0,0.192
Other,OTHER,66,12.0,0.182
Caught Stealing,CS,686,85.0,0.124
