bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.507,0.270,0.109,21370,15098,11795
1B _ _,0.893,0.532,0.233,5441,6308,6279
_ 2B _,1.082,0.713,0.332,1170,2414,3098
_ _ 3B,1.185,0.936,0.369,308,760,1119
1B 2B _,1.482,0.944,0.467,1326,2474,3395
1B _ 3B,1.764,1.167,0.548,470,953,1127
_ 2B 3B,1.975,1.480,0.617,276,754,755
1B 2B 3B,2.282,1.545,0.781,344,930,1055
