bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.479,0.257,0.095,37345,26797,21240
1B _ _,0.846,0.518,0.211,8172,9291,9544
_ 2B _,1.117,0.669,0.338,2941,5339,6489
_ _ 3B,1.370,0.952,0.345,651,1890,2571
1B 2B _,1.460,0.867,0.434,2018,3680,4912
1B _ 3B,1.675,1.174,0.511,892,1763,2257
_ 2B 3B,1.948,1.339,0.556,517,1394,1432
1B 2B 3B,2.397,1.593,0.759,494,1182,1498
