bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.453,0.250,0.089,28878,20881,16571
1B _ _,0.792,0.510,0.215,6649,7899,8008
_ 2B _,1.007,0.644,0.322,1796,3455,4258
_ _ 3B,1.316,0.885,0.331,377,1118,1620
1B 2B _,1.413,0.912,0.428,1396,2771,3686
1B _ 3B,1.714,1.167,0.484,574,1296,1739
_ 2B 3B,1.827,1.315,0.618,365,922,1059
1B 2B 3B,2.337,1.472,0.739,323,916,1211
