bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.543,0.288,0.114,43621,31009,24643
1B _ _,0.937,0.555,0.247,10125,11524,11324
_ 2B _,1.173,0.719,0.339,3337,5506,7051
_ _ 3B,1.458,0.974,0.367,487,1953,2927
1B 2B _,1.484,0.967,0.465,2552,4528,5981
1B _ 3B,1.862,1.228,0.526,968,2073,2762
_ 2B 3B,2.144,1.483,0.623,646,1668,1770
1B 2B 3B,2.288,1.611,0.824,761,1791,2207
