bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.553,0.301,0.111,19995,13745,10696
1B _ _,0.940,0.580,0.239,5459,6075,6084
_ 2B _,1.221,0.776,0.358,1141,2447,2987
_ _ 3B,1.415,1.002,0.454,325,817,1091
1B 2B _,1.636,1.084,0.483,1338,2409,3242
1B _ 3B,1.675,1.180,0.539,498,1045,1197
_ 2B 3B,2.070,1.528,0.691,272,816,742
1B 2B 3B,2.564,1.841,0.938,337,976,1143
