bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.453,0.222,0.069,21061,14478,11662
1B _ _,0.865,0.496,0.185,5388,5283,4510
_ 2B _,1.014,0.659,0.312,1377,3267,4298
_ _ 3B,1.300,0.934,0.376,574,1531,1989
1B 2B _,1.551,0.883,0.408,1228,1811,2059
1B _ 3B,1.838,1.156,0.536,470,947,653
_ 2B 3B,2.062,1.395,0.580,339,1057,1101
1B 2B 3B,2.595,1.675,0.751,383,686,774
