bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.525,0.281,0.109,43492,30902,24425
1B _ _,0.905,0.530,0.228,9953,11695,11328
_ 2B _,1.155,0.702,0.338,3402,5416,6995
_ _ 3B,1.515,0.972,0.350,509,1900,2865
1B 2B _,1.546,0.929,0.469,2571,4601,5817
1B _ 3B,1.788,1.167,0.482,945,2007,2635
_ 2B 3B,2.000,1.432,0.599,689,1629,1816
1B 2B 3B,2.350,1.609,0.813,735,1858,2272
