bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.464,0.243,0.094,37247,27040,21641
1B _ _,0.852,0.495,0.202,8070,9207,9295
_ 2B _,1.108,0.652,0.319,2705,4964,6227
_ _ 3B,1.253,0.935,0.342,491,1785,2679
1B 2B _,1.505,0.882,0.408,1918,3508,4696
1B _ 3B,1.728,1.163,0.424,828,1691,2222
_ 2B 3B,1.959,1.384,0.569,556,1397,1422
1B 2B 3B,2.473,1.554,0.734,461,1242,1501
