bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.509,0.276,0.110,25434,17945,14245
1B _ _,0.880,0.514,0.221,6376,7316,7253
_ 2B _,1.064,0.698,0.329,1473,2993,3741
_ _ 3B,1.503,0.959,0.376,362,1006,1549
1B 2B _,1.548,1.003,0.452,1445,2620,3433
1B _ 3B,1.760,1.165,0.462,629,1236,1559
_ 2B 3B,2.061,1.427,0.638,363,935,934
1B 2B 3B,2.418,1.621,0.748,378,883,1141
