bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.497,0.269,0.100,21230,14822,11575
1B _ _,0.865,0.532,0.215,5443,6214,6212
_ 2B _,1.037,0.678,0.319,1256,2567,3148
_ _ 3B,1.411,0.938,0.380,314,833,1150
1B 2B _,1.452,0.939,0.446,1306,2491,3269
1B _ 3B,1.747,1.143,0.484,491,1002,1158
_ 2B 3B,1.929,1.349,0.565,282,774,759
1B 2B 3B,2.174,1.546,0.634,356,920,1097
