bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.383,0.199,0.079,28429,20843,16688
1B _ _,0.731,0.421,0.171,6108,7194,7616
_ 2B _,0.925,0.599,0.290,1689,3382,4230
_ _ 3B,1.083,0.808,0.318,432,1097,1555
1B 2B _,1.248,0.775,0.382,1277,2512,3401
1B _ 3B,1.563,1.047,0.439,655,1209,1603
_ 2B 3B,1.742,1.171,0.499,341,859,995
1B 2B 3B,1.947,1.302,0.666,337,880,1117
