bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.501,0.264,0.106,28815,20346,16215
1B _ _,0.883,0.518,0.227,7118,8122,8327
_ 2B _,1.079,0.672,0.327,1758,3441,4262
_ _ 3B,1.274,0.921,0.404,464,1234,1675
1B 2B _,1.512,0.935,0.438,1549,2872,3987
1B _ 3B,1.755,1.162,0.530,678,1424,1793
_ 2B 3B,2.169,1.351,0.614,409,1001,1029
1B 2B 3B,2.452,1.582,0.730,425,980,1201
