bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.485,0.259,0.098,37395,26820,21586
1B _ _,0.837,0.495,0.213,8486,9556,9691
_ 2B _,1.166,0.671,0.326,2750,4825,5990
_ _ 3B,1.430,1.005,0.378,575,1748,2509
1B 2B _,1.434,0.903,0.425,2016,3690,4791
1B _ 3B,1.715,1.192,0.476,873,1759,2202
_ 2B 3B,2.122,1.418,0.671,540,1258,1430
1B 2B 3B,2.328,1.592,0.750,476,1307,1557
