bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.501,0.268,0.104,43322,31715,25419
1B _ _,0.880,0.520,0.229,9329,11436,11439
_ 2B _,1.156,0.656,0.321,3281,4902,6524
_ _ 3B,1.339,0.908,0.334,381,1493,2492
1B 2B _,1.605,0.947,0.469,2473,4283,5121
1B _ 3B,1.853,1.208,0.468,798,1784,2387
_ 2B 3B,2.000,1.409,0.561,651,1528,1822
1B 2B 3B,2.490,1.603,0.764,680,1460,1798
