bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.520,0.276,0.105,43413,31530,25275
1B _ _,0.905,0.542,0.242,9597,11566,11408
_ 2B _,1.167,0.714,0.316,3337,5067,6501
_ _ 3B,1.475,0.992,0.352,434,1585,2565
1B 2B _,1.486,0.949,0.485,2469,4291,5204
1B _ 3B,1.831,1.203,0.532,850,1849,2410
_ 2B 3B,1.929,1.388,0.529,665,1523,1875
1B 2B 3B,2.261,1.612,0.778,700,1517,1997
