bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.435,0.234,0.088,34310,24687,19470
1B _ _,0.797,0.461,0.205,8016,9248,9272
_ 2B _,0.936,0.604,0.312,2005,4223,5126
_ _ 3B,1.234,0.850,0.323,462,1312,1916
1B 2B _,1.451,0.835,0.416,1808,3488,4595
1B _ 3B,1.636,1.118,0.411,760,1572,2124
_ 2B 3B,1.926,1.229,0.557,444,1120,1229
1B 2B 3B,2.405,1.469,0.677,474,1221,1503
