bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.478,0.258,0.098,37287,26903,21365
1B _ _,0.854,0.508,0.219,8296,9711,9907
_ 2B _,1.083,0.686,0.320,2699,4788,6027
_ _ 3B,1.416,0.947,0.371,567,1723,2416
1B 2B _,1.463,0.880,0.426,2037,3768,4973
1B _ 3B,1.631,1.153,0.477,891,1829,2346
_ 2B 3B,1.919,1.390,0.585,516,1331,1356
1B 2B 3B,2.330,1.624,0.731,497,1296,1481
