Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5431,10298.0,1.896
Triple,3B,847,1334.0,1.575
Double,2B,8009,9905.0,1.237
Interference,INT,41,46.0,1.122
Error,RBOE,1449,1474.0,1.017
Fielder's Choice,FC,405,388.0,0.958
Single,1B,26120,24746.0,0.947
Passed Ball,PB,309,284.0,0.919
Sac Bunt,SAC,1441,1283.0,0.890
Balk,BK,139,122.0,0.878
Wild Pitch,WP,1576,1351.0,0.857
Hit by Pitch,HBP,1582,1356.0,0.857
Intentional Walk,IBB,842,707.0,0.840
Non-Intentional Walk,NIBB,13614,10665.0,0.783
Stolen Base,SB,2146,1644.0,0.766
Foul Error,FLE,49,24.0,0.490
Bunt,BUNT,645,270.0,0.419
Defensive Indifference,DI,161,64.0,0.398
Pickoff,PK,496,156.0,0.315
Out (on Batted Ball),OUT,80004,17321.0,0.217
Strikeout,K,37177,6856.0,0.184
Other,OTHER,104,19.0,0.183
Caught Stealing,CS,696,85.0,0.122
