bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.464,0.242,0.089,37345,26692,21198
1B _ _,0.837,0.493,0.199,8527,9650,9346
_ 2B _,1.075,0.640,0.296,2738,4895,6160
_ _ 3B,1.367,0.936,0.331,488,1760,2652
1B 2B _,1.462,0.873,0.401,2093,3740,4713
1B _ 3B,1.756,1.104,0.422,894,1855,2297
_ 2B 3B,1.975,1.353,0.530,516,1336,1480
1B 2B 3B,2.364,1.497,0.678,530,1406,1611
