bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.511,0.255,0.080,20970,14079,11014
1B _ _,0.914,0.561,0.201,5675,5592,4824
_ 2B _,1.118,0.674,0.328,1419,3509,4460
_ _ 3B,1.408,0.976,0.410,593,1602,1973
1B 2B _,1.635,1.073,0.446,1355,2139,2340
1B _ 3B,1.846,1.346,0.491,487,991,776
_ 2B 3B,2.061,1.439,0.669,327,1203,1240
1B 2B 3B,2.633,1.885,0.754,379,801,893
