bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.414,0.214,0.082,32902,23864,18784
1B _ _,0.792,0.432,0.177,7417,8786,8936
_ 2B _,0.965,0.618,0.291,2020,4023,4926
_ _ 3B,1.190,0.852,0.333,431,1279,1839
1B 2B _,1.432,0.817,0.389,1705,3229,4233
1B _ 3B,1.611,1.041,0.405,717,1436,1829
_ 2B 3B,1.852,1.277,0.569,427,1114,1156
1B 2B 3B,2.262,1.405,0.624,404,1079,1382
