bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.546,0.284,0.107,36103,25410,20225
1B _ _,0.945,0.546,0.239,8495,9493,9325
_ 2B _,1.202,0.730,0.347,2798,4822,5873
_ _ 3B,1.430,0.971,0.373,488,1740,2651
1B 2B _,1.600,0.962,0.501,2225,3797,4758
1B _ 3B,1.938,1.198,0.512,877,1742,2379
_ 2B 3B,2.087,1.415,0.624,554,1336,1573
1B 2B 3B,2.295,1.644,0.841,600,1350,1820
