bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.479,0.253,0.092,37313,26833,21117
1B _ _,0.870,0.516,0.221,8430,9681,9474
_ 2B _,1.104,0.680,0.316,2650,4902,6182
_ _ 3B,1.359,0.950,0.385,502,1709,2602
1B 2B _,1.439,0.892,0.425,1985,3761,4889
1B _ 3B,1.765,1.176,0.489,884,1780,2356
_ 2B 3B,1.920,1.364,0.562,523,1416,1543
1B 2B 3B,2.332,1.600,0.684,524,1361,1631
