Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4478,8648.0,1.931
Triple,3B,863,1339.0,1.552
Double,2B,7771,10011.0,1.288
Error,RBOE,1605,1698.0,1.058
Balk,BK,184,192.0,1.043
Passed Ball,PB,280,282.0,1.007
Sac Bunt,SAC,2033,2044.0,1.005
Single,1B,26340,26462.0,1.005
Wild Pitch,WP,1256,1243.0,0.990
Hit by Pitch,HBP,1403,1334.0,0.951
Foul Error,FLE,43,36.0,0.837
Non-Intentional Walk,NIBB,13882,11502.0,0.829
Intentional Walk,IBB,1038,855.0,0.824
Interference,INT,28,22.0,0.786
Stolen Base,SB,2797,2152.0,0.769
Fielder's Choice,FC,500,376.0,0.752
Defensive Indifference,DI,64,35.0,0.547
Bunt,BUNT,719,309.0,0.430
Pickoff,PK,601,245.0,0.408
Other,OTHER,72,21.0,0.292
Out (on Batted Ball),OUT,79478,18265.0,0.230
Strikeout,K,28535,5825.0,0.204
Caught Stealing,CS,1051,199.0,0.189
