bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.583,0.315,0.126,43708,30780,24516
1B _ _,0.986,0.605,0.270,10339,11767,11561
_ 2B _,1.180,0.735,0.331,3361,5614,7163
_ _ 3B,1.532,0.990,0.401,500,1940,2935
1B 2B _,1.630,1.015,0.483,2779,4917,6190
1B _ 3B,1.914,1.218,0.498,1033,2196,2814
_ 2B 3B,2.029,1.510,0.635,655,1642,1835
1B 2B 3B,2.547,1.724,0.817,769,1869,2263
