bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.547,0.280,0.100,21094,14036,10799
1B _ _,0.955,0.554,0.216,5956,6491,5913
_ 2B _,1.196,0.765,0.365,1339,3091,3698
_ _ 3B,1.460,1.055,0.436,474,1333,1864
1B 2B _,1.743,1.001,0.503,1387,2319,2677
1B _ 3B,1.784,1.280,0.533,575,1278,1287
_ 2B 3B,2.049,1.539,0.683,346,1112,1139
1B 2B 3B,2.781,1.801,0.931,388,783,883
