Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5769,10936.0,1.896
Triple,3B,658,1026.0,1.559
Double,2B,7641,9810.0,1.284
Fielder's Choice,FC,614,716.0,1.166
Passed Ball,PB,298,312.0,1.047
Interference,INT,61,63.0,1.033
Single,1B,23858,23464.0,0.983
Wild Pitch,WP,1632,1586.0,0.972
Hit by Pitch,HBP,2034,1829.0,0.899
Sac Bunt,SAC,1095,961.0,0.878
Error,RBOE,1148,1000.0,0.871
Non-Intentional Walk,NIBB,14546,12439.0,0.855
Balk,BK,143,117.0,0.818
Intentional Walk,IBB,557,419.0,0.752
Foul Error,FLE,37,26.0,0.703
Stolen Base,SB,1885,1302.0,0.691
Bunt,BUNT,418,157.0,0.376
Pickoff,PK,399,141.0,0.353
Defensive Indifference,DI,90,27.0,0.300
Other,OTHER,96,27.0,0.281
Out (on Batted Ball),OUT,76553,16569.0,0.216
Strikeout,K,40567,7956.0,0.196
Caught Stealing,CS,479,68.0,0.142
