bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.520,0.280,0.107,43459,30984,24458
1B _ _,0.891,0.535,0.224,9907,11536,11094
_ 2B _,1.142,0.692,0.322,3285,5399,7041
_ _ 3B,1.311,0.967,0.374,514,1975,2879
1B 2B _,1.502,0.932,0.455,2561,4575,5840
1B _ 3B,1.776,1.211,0.526,939,1969,2593
_ 2B 3B,2.026,1.418,0.563,642,1613,1834
1B 2B 3B,2.307,1.574,0.746,766,1862,2240
